location,gage_id,gage_name,min_date,max_date
tule lake,USGS-11488510,tulelake cn a sheepy ridge pumping sta nr hatfield,2002-08-19,2018-09-24
upper klamath lake,KLAMATHTRIBES_WQX-KL0011,agency lake north,1991-06-05,2018-10-23
upper klamath lake,KLAMATHTRIBES_WQX-KL0010,agency lake south,1990-01-18,2018-10-23
upper klamath lake,USGS-422622122004000,mid-north - lower  - mdnl,2003-06-17,2023-09-25
upper klamath lake,USGS-422042121513100,rattlesnake point  -  rpt,2006-05-22,2023-09-25
upper klamath lake,USGS-422444121580400,shoalwater bay - shb,2019-04-16,2023-09-25
upper klamath lake,KLAMATHTRIBES_WQX-SR0080,sprague river at lone pine,2001-03-22,2016-12-29
upper klamath lake,KLAMATHTRIBES_WQX-BP,upper klamath lake at ball point,1994-09-20,1994-09-20
upper klamath lake,KLAMATHTRIBES_WQX-KL0009,upper klamath lake at coon point,1997-07-16,2018-10-23
upper klamath lake,KLAMATHTRIBES_WQX-KL0006,upper klamath lake at eagle ridge,1990-01-18,2018-10-23
upper klamath lake,KLAMATHTRIBES_WQX-KL0001,upper klamath lake at fremont bridge,1991-10-07,2018-10-23
upper klamath lake,USGS-421935121551200,"upper klamath lake at howard bay, or",2020-05-12,2023-09-25
upper klamath lake,KLAMATHTRIBES_WQX-KL0005,upper klamath lake at mid-lake,1990-01-18,2018-10-23
upper klamath lake,KLAMATHTRIBES_WQX-KL0008,upper klamath lake at mid-lake north,1990-01-18,2018-10-23
upper klamath lake,KLAMATHTRIBES_WQX-KL0003,upper klamath lake at north buck island,1990-01-18,2018-10-23
upper klamath lake,KLAMATHTRIBES_WQX-PB,upper klamath lake at pelican bay,1990-01-18,1997-06-16
upper klamath lake,KLAMATHTRIBES_WQX-KL0002,upper klamath lake at pelican marina,1990-01-18,2018-10-23
upper klamath lake,KLAMATHTRIBES_WQX-KL0007,upper klamath lake at shoal water bay,1990-01-18,2018-10-23
upper klamath lake,KLAMATHTRIBES_WQX-SBE,upper klamath lake at shoalwater bay east,1994-09-20,1994-09-20
upper klamath lake,KLAMATHTRIBES_WQX-KL0004,upper klamath lake at wocus bay,1990-01-18,2018-10-23
upper klamath lake,USGS-421830121512600,"upper klamath lake near buck island, or",2019-04-16,2023-09-25
upper klamath lake,KLAMATHTRIBES_WQX-WS,weather station,1990-06-29,1991-04-30
upper klamath lake,KLAMATHTRIBES_WQX-WR6000,williamson river at modoc point road,2005-01-13,2005-01-13
upper klamath lake,USGS-422719121571400,williamson river outlet - wmr,2005-06-15,2023-09-25
