area,year,month_name,mean_total_water,sd_total_water,mean_class1,mean_class2,mean_class3,n,month
Tule Lake,2013,Apr,11.316,1.871,0,11.143,0.173,2,4
Tule Lake,2013,May,11.02,NA,0,10.934,0.086,1,5
Tule Lake,2013,Jun,10.566,NA,0,10.464,0.102,1,6
Tule Lake,2013,Jul,12.065,0.586,0,11.733,0.332,4,7
Tule Lake,2013,Aug,11.926,0.256,0,11.232,0.694,3,8
Tule Lake,2013,Sep,11.71,0.553,0.001,11.194,0.516,2,9
Tule Lake,2013,Oct,10.665,NA,0,10.32,0.346,1,10
Tule Lake,2013,Nov,11.192,0.157,0,10.756,0.436,2,11
Tule Lake,2013,Dec,36.532,39.573,8.31,5.629,22.594,3,12
Tule Lake,2014,Jan,11.375,0.481,0.032,10.725,0.619,2,1
Tule Lake,2014,Feb,13.564,10.241,0,12.776,0.788,2,2
Tule Lake,2014,Mar,12.313,NA,0,11.914,0.399,1,3
Tule Lake,2014,Apr,11.181,0.125,0,10.895,0.286,2,4
Tule Lake,2014,May,12.837,1.557,0,12.506,0.331,2,5
Tule Lake,2014,Jun,12.328,0.319,0.001,11.65,0.677,3,6
Tule Lake,2014,Jul,12.186,0.606,0,11.118,1.068,3,7
Tule Lake,2014,Aug,12.456,0.855,0,11.635,0.82,3,8
Tule Lake,2014,Sep,11.713,0.048,0,11.125,0.588,2,9
Tule Lake,2014,Oct,11.725,0.372,0,11.301,0.424,4,10
Tule Lake,2014,Dec,52.154,NA,3.337,14.177,34.64,1,12
Tule Lake,2015,Jan,18.812,2.654,0.001,18.1,0.712,2,1
Tule Lake,2015,Feb,11.401,2.305,0,11.192,0.209,2,2
Tule Lake,2015,Mar,14.743,2.976,0,14.44,0.302,2,3
Tule Lake,2015,Apr,11.822,1.545,0,11.794,0.029,2,4
Tule Lake,2015,May,12.652,0.336,0,12.593,0.059,2,5
Tule Lake,2015,Jun,12.747,0.271,0.018,10.512,2.216,2,6
Tule Lake,2015,Jul,12.795,0.473,0.015,10.378,2.402,3,7
Tule Lake,2015,Aug,12.272,1.637,0.001,11.349,0.923,2,8
Tule Lake,2015,Sep,10.501,0.291,0,10.034,0.467,2,9
Tule Lake,2015,Oct,12.489,2.758,0,11.838,0.652,4,10
Tule Lake,2015,Nov,12.399,0.424,0.001,11.49,0.909,2,11
Tule Lake,2016,Feb,39.956,NA,0.011,37.409,2.536,1,2
Tule Lake,2016,Mar,12.261,1.068,0,11.949,0.312,2,3
Tule Lake,2016,Apr,12.596,1.857,0,12.518,0.078,2,4
Tule Lake,2016,May,11.19,0.275,0,10.938,0.252,4,5
Tule Lake,2016,Jun,12.025,0.264,0.011,11.099,0.915,3,6
Tule Lake,2016,Jul,12.281,0.276,0.057,10.903,1.321,4,7
Tule Lake,2016,Aug,12.262,1.417,0.078,10.39,1.794,3,8
Tule Lake,2016,Sep,12.028,0.073,0.008,10.84,1.18,2,9
Tule Lake,2016,Oct,12.624,0.984,0,11.67,0.953,2,10
Tule Lake,2016,Nov,12.512,NA,0,11.667,0.845,1,11
Tule Lake,2017,Jan,99.988,NA,96.974,0.235,2.78,1,1
Tule Lake,2017,Mar,18.957,NA,0.003,17.763,1.191,1,3
Tule Lake,2017,Apr,11.305,NA,0,10.986,0.32,1,4
Tule Lake,2017,May,12.445,0.699,0.002,11.913,0.53,3,5
Tule Lake,2017,Jun,13.255,0.366,0.015,12.083,1.158,3,6
Tule Lake,2017,Jul,13.019,0.446,0.005,11.176,1.839,2,7
Tule Lake,2017,Aug,13.543,0.529,0.011,11.64,1.893,4,8
Tule Lake,2017,Sep,13.45,0.383,0.002,12.017,1.431,2,9
Tule Lake,2017,Oct,12.012,0.063,0,11.16,0.851,2,10
Tule Lake,2017,Dec,23.023,4.406,0.002,22.075,0.946,2,12
Tule Lake,2018,Apr,12.065,NA,0,11.639,0.426,1,4
Tule Lake,2018,May,11.908,NA,0,11.26,0.647,1,5
Tule Lake,2018,Jun,13.058,0.182,0.165,10.654,2.239,3,6
Tule Lake,2018,Jul,12.538,0.223,0.018,10.49,2.03,4,7
Tule Lake,2018,Aug,11.787,1.125,0.03,10.758,0.999,4,8
Tule Lake,2018,Sep,9.089,4.025,0,8.51,0.579,2,9
Tule Lake,2018,Oct,10.825,2.638,0,10.284,0.541,3,10
Tule Lake,2018,Nov,12.087,NA,0,11.336,0.751,1,11
Tule Lake,2019,Jan,17.177,1.891,0.001,16.634,0.542,2,1
Tule Lake,2019,Mar,12.485,NA,0.01,12.395,0.08,1,3
Tule Lake,2019,Apr,11.656,0.229,0,11.599,0.057,2,4
Tule Lake,2019,May,11.602,0.369,0,11.565,0.037,2,5
Tule Lake,2019,Jun,12.708,0.948,0.147,11.039,1.522,3,6
Tule Lake,2019,Jul,13.188,0.33,0.015,11.427,1.745,4,7
Tule Lake,2019,Aug,13.416,0.512,0.008,12.339,1.068,4,8
Tule Lake,2019,Sep,10.995,2.872,0,8.776,2.219,3,9
Tule Lake,2019,Oct,13.372,2.117,0,11.378,1.994,3,10
Tule Lake,2019,Nov,13.214,1.292,0,12.364,0.85,2,11
Tule Lake,2020,Feb,14.702,1.696,0,13.985,0.717,2,2
Tule Lake,2020,Apr,11.407,0.447,0,10.782,0.625,3,4
Tule Lake,2020,May,10.784,1.342,0.001,10.112,0.671,2,5
Tule Lake,2020,Jun,12.966,2.124,0.014,10.91,2.042,2,6
Tule Lake,2020,Jul,9.908,0.693,0.01,8.368,1.53,4,7
Tule Lake,2020,Aug,6.966,2.858,0.118,6.066,0.782,2,8
Tule Lake,2020,Sep,8.733,0.31,0.043,8.315,0.375,3,9
Tule Lake,2020,Oct,11.031,1.517,0.001,10.49,0.54,4,10
Tule Lake,2020,Nov,15.212,2.938,0.03,13.676,1.506,2,11
Tule Lake,2020,Dec,29.045,9.553,0.129,25.715,3.2,2,12
Tule Lake,2021,Feb,13.692,NA,0,8.578,5.114,1,2
Tule Lake,2021,Mar,11.533,1.375,0,9.185,2.347,4,3
Tule Lake,2021,Apr,9.931,0.618,0,9.243,0.688,4,4
Tule Lake,2021,May,9.5,0.097,0,8.877,0.623,2,5
Tule Lake,2021,Jun,8.686,0.495,0,6.114,2.572,2,6
Tule Lake,2021,Jul,4.389,2.365,0,3.707,0.682,3,7
Tule Lake,2021,Aug,2.546,0.504,0.021,1.971,0.554,4,8
Tule Lake,2021,Sep,2.979,0.791,0.023,2.869,0.087,4,9
Tule Lake,2021,Oct,3.082,NA,0,2.908,0.174,1,10
Tule Lake,2021,Nov,20.788,29.938,0.001,20.676,0.111,3,11
Tule Lake,2021,Dec,5.773,3.425,0,5.703,0.07,3,12
Tule Lake,2022,Jan,3.484,0.069,0.001,3.396,0.087,2,1
Tule Lake,2022,Feb,3.17,0.168,0,3.103,0.066,5,2
Tule Lake,2022,Mar,2.584,0.209,0,2.536,0.048,3,3
Tule Lake,2022,Apr,1.757,1.123,0,1.713,0.045,3,4
Tule Lake,2022,May,2.247,0.054,0,2.164,0.082,2,5
Tule Lake,2022,Jun,2.36,0.153,0,2.178,0.182,2,6
Tule Lake,2022,Jul,1.737,0.723,0,1.465,0.272,6,7
Tule Lake,2022,Aug,1.167,0.713,0,1.152,0.015,8,8
Tule Lake,2022,Sep,0.498,0.225,0,0.495,0.003,5,9
Tule Lake,2022,Oct,0.376,0.129,0,0.373,0.003,6,10
Tule Lake,2022,Nov,12.369,1.021,1.309,5.688,5.372,3,11
Tule Lake,2022,Dec,93.582,NA,53.576,1.206,38.801,1,12
Tule Lake,2023,Jan,41.211,49.738,20.339,1.516,19.356,3,1
Tule Lake,2023,Feb,26.94,33.744,0.002,26.317,0.621,2,2
Tule Lake,2023,Mar,7.73,NA,0,6.809,0.921,1,3
Tule Lake,2023,Apr,2.857,0.073,0,2.724,0.133,2,4
Tule Lake,2023,May,3.573,1.266,0.001,3.308,0.264,3,5
Tule Lake,2023,Jun,4.081,0.273,0.014,3.458,0.61,6,6
Tule Lake,2023,Jul,3.148,0.265,0.055,2.09,1.003,7,7
Tule Lake,2023,Aug,3.643,1.484,0.043,2.806,0.793,7,8
Tule Lake,2023,Sep,3.59,0.288,0.014,3.259,0.316,2,9
Tule Lake,2023,Oct,4.814,0.736,0,4.399,0.415,5,10
Tule Lake,2023,Nov,12.278,NA,0.001,11.579,0.698,1,11
Tule Lake,2023,Dec,32.17,29.56,0.002,31.808,0.361,2,12
Tule Lake,2024,Jan,34.864,NA,0,34.864,0,1,1
Tule Lake,2024,Feb,14.443,2.166,0,13.749,0.694,2,2
Tule Lake,2024,Apr,15.283,NA,0,15.224,0.06,1,4
Tule Lake,2024,May,13.335,0.221,0,12.198,1.137,5,5
Tule Lake,2024,Jun,9.453,6.788,0.004,8.363,1.086,3,6
Tule Lake,2024,Jul,12.109,0.668,0.015,8.346,3.748,7,7
Tule Lake,2024,Aug,11.152,0.309,0.089,8.359,2.703,5,8
Tule Lake,2024,Sep,12.151,0.614,0.003,10.607,1.541,7,9
Tule Lake,2024,Oct,13.095,0.345,0,11.829,1.267,4,10
Tule Lake,2024,Nov,28.952,23.483,0,27.535,1.417,3,11
Tule Lake,2024,Dec,33.795,15.633,0.338,26.486,6.971,3,12
Tule Lake,2025,Jan,23.349,8.443,0.008,22.168,1.172,4,1
Tule Lake,2025,Feb,77.212,31.146,62.564,11.811,2.837,5,2
Tule Lake,2025,Mar,20.958,3.025,0.033,19.806,1.118,3,3
Tule Lake,2025,Apr,14.51,1.447,0,13.921,0.589,3,4
Tule Lake,2025,May,15.524,1.154,0.001,14.792,0.731,4,5
Tule Lake,2025,Jun,14.325,0.745,0.032,12.821,1.471,7,6
Tule Lake,2025,Jul,12.454,1.587,0.047,11.021,1.386,8,7
Tule Lake,2025,Aug,12.226,1.897,0.015,10.927,1.283,6,8
Tule Lake,2025,Sep,13.492,1.141,0.001,12.524,0.966,6,9
Tule Lake,2025,Oct,13,NA,0,12.251,0.748,1,10
Tule Lake,2025,Nov,14.816,1.266,0,14.542,0.274,3,11
Tule Lake,2025,Dec,32.572,27.732,1.956,27.089,3.527,4,12
Clear Lake,2013,Apr,15.751,1.455,0,15.498,0.254,2,4
Clear Lake,2013,May,10.7,NA,0,10.662,0.037,1,5
Clear Lake,2013,Jun,13.441,NA,0,12.815,0.625,1,6
Clear Lake,2013,Jul,10.064,5.046,0,9.822,0.242,4,7
Clear Lake,2013,Aug,11.37,1.931,0,11.268,0.101,3,8
Clear Lake,2013,Sep,11.357,0.441,0,11.169,0.188,2,9
Clear Lake,2013,Oct,11.34,NA,0,11.046,0.295,1,10
Clear Lake,2013,Nov,13.498,1.168,0,13.366,0.132,2,11
Clear Lake,2013,Dec,46.309,41.723,11.145,10.581,24.582,3,12
Clear Lake,2014,Jan,15.644,2.334,0.547,15.062,0.035,2,1
Clear Lake,2014,Feb,20.695,12.655,0,20.223,0.472,2,2
Clear Lake,2014,Mar,11.9,NA,0,9.477,2.423,1,3
Clear Lake,2014,Apr,10.185,1.537,0,8.543,1.643,2,4
Clear Lake,2014,May,9.854,1.349,0,8.408,1.446,2,5
Clear Lake,2014,Jun,7.596,3.096,0,7.092,0.503,3,6
Clear Lake,2014,Jul,9.508,2.126,0,9.458,0.05,3,7
Clear Lake,2014,Aug,7.527,4.988,0,7.49,0.037,3,8
Clear Lake,2014,Sep,8.578,2.435,0,8.526,0.053,2,9
Clear Lake,2014,Oct,9.192,1.559,0,9.128,0.064,4,10
Clear Lake,2014,Dec,78.349,NA,5.374,22.107,50.868,1,12
Clear Lake,2015,Jan,22.385,9.168,0,22.246,0.139,2,1
Clear Lake,2015,Feb,14.665,3.164,0.024,14.07,0.571,2,2
Clear Lake,2015,Mar,14.489,3.483,0.026,13.291,1.172,2,3
Clear Lake,2015,Apr,8.899,2.221,0,8.119,0.78,2,4
Clear Lake,2015,May,12.588,2.939,0,11.974,0.613,2,5
Clear Lake,2015,Jun,10.496,1.965,0,9.862,0.635,2,6
Clear Lake,2015,Jul,6.275,5.018,0,6.193,0.082,3,7
Clear Lake,2015,Aug,8.686,2.542,0,8.571,0.115,2,8
Clear Lake,2015,Sep,8.592,2.395,0,8.39,0.203,2,9
Clear Lake,2015,Oct,10.731,2.46,0,10.642,0.088,4,10
Clear Lake,2015,Nov,12.609,1.161,0,12.535,0.074,2,11
Clear Lake,2016,Feb,71.166,NA,3.483,44.446,23.237,1,2
Clear Lake,2016,Mar,23.132,3.477,0.002,22.449,0.681,2,3
Clear Lake,2016,Apr,18.014,3.62,0,17.666,0.348,2,4
Clear Lake,2016,May,13.2,5.202,0,12.918,0.282,4,5
Clear Lake,2016,Jun,15.36,1.854,0,15.103,0.257,3,6
Clear Lake,2016,Jul,11.576,5.473,0,11.367,0.209,4,7
Clear Lake,2016,Aug,16.856,3.927,0,16.462,0.394,3,8
Clear Lake,2016,Sep,13.154,2.024,0,12.915,0.239,2,9
Clear Lake,2016,Oct,12.023,0.495,0,9.709,2.314,2,10
Clear Lake,2016,Nov,15.401,NA,0,14.191,1.21,1,11
Clear Lake,2017,Jan,99.843,NA,89.475,1.033,9.335,1,1
Clear Lake,2017,Mar,77.814,NA,13.185,27.789,36.84,1,3
Clear Lake,2017,Apr,16.261,NA,0,16.107,0.154,1,4
Clear Lake,2017,May,19.835,1.725,0.018,19.667,0.15,3,5
Clear Lake,2017,Jun,12.222,8.393,0.033,12.071,0.118,3,6
Clear Lake,2017,Jul,13.822,4.345,0.043,13.682,0.096,2,7
