area,year,month,mean_total_water,sd_total_water,mean_class1,mean_class2,mean_class3,n
Tule Lake,2016,Oct,12.624,0.984,0,11.67,0.953,2
Tule Lake,2016,Nov,12.512,NA,0,11.667,0.845,1
Tule Lake,2017,Jan,99.988,NA,96.974,0.235,2.78,1
Tule Lake,2017,Mar,18.957,NA,0.003,17.763,1.191,1
Tule Lake,2017,Apr,11.305,NA,0,10.986,0.32,1
Tule Lake,2017,May,12.445,0.699,0.002,11.913,0.53,3
Tule Lake,2017,Jun,13.255,0.366,0.015,12.083,1.158,3
Tule Lake,2017,Jul,13.019,0.446,0.005,11.176,1.839,2
Tule Lake,2017,Aug,13.543,0.529,0.011,11.64,1.893,4
Tule Lake,2017,Sep,13.45,0.383,0.002,12.017,1.431,2
Tule Lake,2017,Oct,12.012,0.063,0,11.16,0.851,2
Tule Lake,2017,Dec,23.023,4.406,0.002,22.075,0.946,2
Tule Lake,2018,Apr,12.065,NA,0,11.639,0.426,1
Tule Lake,2018,May,11.908,NA,0,11.26,0.647,1
Tule Lake,2018,Jun,13.058,0.182,0.165,10.654,2.239,3
Tule Lake,2018,Jul,12.538,0.223,0.018,10.49,2.03,4
Tule Lake,2018,Aug,11.787,1.125,0.03,10.758,0.999,4
Tule Lake,2018,Sep,9.089,4.025,0,8.51,0.579,2
Tule Lake,2018,Oct,10.825,2.638,0,10.284,0.541,3
Tule Lake,2018,Nov,12.087,NA,0,11.336,0.751,1
Tule Lake,2019,Jan,17.177,1.891,0.001,16.634,0.542,2
Tule Lake,2019,Mar,12.485,NA,0.01,12.395,0.08,1
Tule Lake,2019,Apr,11.656,0.229,0,11.599,0.057,2
Tule Lake,2019,May,11.602,0.369,0,11.565,0.037,2
Tule Lake,2019,Jun,12.708,0.948,0.147,11.039,1.522,3
Tule Lake,2019,Jul,13.188,0.33,0.015,11.427,1.745,4
Tule Lake,2019,Aug,13.416,0.512,0.008,12.339,1.068,4
Tule Lake,2019,Sep,10.995,2.872,0,8.776,2.219,3
Tule Lake,2019,Oct,13.372,2.117,0,11.378,1.994,3
Tule Lake,2019,Nov,13.214,1.292,0,12.364,0.85,2
Tule Lake,2020,Feb,14.702,1.696,0,13.985,0.717,2
Tule Lake,2020,Apr,11.407,0.447,0,10.782,0.625,3
Tule Lake,2020,May,10.784,1.342,0.001,10.112,0.671,2
Tule Lake,2020,Jun,12.966,2.124,0.014,10.91,2.042,2
Tule Lake,2020,Jul,9.908,0.693,0.01,8.368,1.53,4
Tule Lake,2020,Aug,6.966,2.858,0.118,6.066,0.782,2
Clear Lake,2016,Oct,12.023,0.495,0,9.709,2.314,2
Clear Lake,2016,Nov,15.401,NA,0,14.191,1.21,1
Clear Lake,2017,Jan,99.843,NA,89.475,1.033,9.335,1
Clear Lake,2017,Mar,77.814,NA,13.185,27.789,36.84,1
Clear Lake,2017,Apr,16.261,NA,0,16.107,0.154,1
Clear Lake,2017,May,19.835,1.725,0.018,19.667,0.15,3
Clear Lake,2017,Jun,12.222,8.393,0.033,12.071,0.118,3
Clear Lake,2017,Jul,13.822,4.345,0.043,13.682,0.096,2
Clear Lake,2017,Aug,17.848,1.253,0,17.714,0.133,4
Clear Lake,2017,Sep,18.202,2.355,0,18.061,0.141,2
Clear Lake,2017,Oct,17.68,1.211,0,17.547,0.133,2
