Timestamp,Date,Value
2004-04-19T18:00:00Z,4/19/2004,8.6
2004-04-19T19:00:00Z,4/19/2004,9.06
2004-04-19T20:00:00Z,4/19/2004,9.06
2004-04-19T21:00:00Z,4/19/2004,9.52
2004-04-19T22:00:00Z,4/19/2004,9.37
2004-04-19T23:00:00Z,4/19/2004,9.68
2004-04-20T00:00:00Z,4/20/2004,9.37
2004-04-20T01:00:00Z,4/20/2004,9.22
2004-04-20T02:00:00Z,4/20/2004,9.22
2004-04-20T03:00:00Z,4/20/2004,9.22
2004-04-20T04:00:00Z,4/20/2004,9.37
2004-04-20T05:00:00Z,4/20/2004,9.37
2004-04-20T06:00:00Z,4/20/2004,9.22
2004-04-20T07:00:00Z,4/20/2004,9.22
2004-04-20T08:00:00Z,4/20/2004,9.22
2004-04-20T09:00:00Z,4/20/2004,9.06
2004-04-20T10:00:00Z,4/20/2004,9.06
2004-04-20T11:00:00Z,4/20/2004,8.91
2004-04-20T12:00:00Z,4/20/2004,8.75
2004-04-20T13:00:00Z,4/20/2004,8.6
2004-04-20T14:00:00Z,4/20/2004,8.6
2004-04-20T15:00:00Z,4/20/2004,8.44
2004-04-20T16:00:00Z,4/20/2004,8.6
2004-04-20T17:00:00Z,4/20/2004,8.75
2004-04-20T18:00:00Z,4/20/2004,8.91
2004-04-20T19:00:00Z,4/20/2004,9.06
2004-04-20T20:00:00Z,4/20/2004,9.22
2004-04-20T21:00:00Z,4/20/2004,9.06
2004-04-20T22:00:00Z,4/20/2004,9.06
2004-04-20T23:00:00Z,4/20/2004,9.22
2004-04-21T00:00:00Z,4/21/2004,9.37
2004-04-21T01:00:00Z,4/21/2004,9.37
2004-04-21T02:00:00Z,4/21/2004,9.22
2004-04-21T03:00:00Z,4/21/2004,9.22
2004-04-21T04:00:00Z,4/21/2004,9.22
2004-04-21T05:00:00Z,4/21/2004,9.06
2004-04-21T06:00:00Z,4/21/2004,9.06
2004-04-21T07:00:00Z,4/21/2004,9.06
2004-04-21T08:00:00Z,4/21/2004,8.91
2004-04-21T09:00:00Z,4/21/2004,8.91
2004-04-21T10:00:00Z,4/21/2004,8.75
2004-04-21T11:00:00Z,4/21/2004,8.75
2004-04-21T12:00:00Z,4/21/2004,8.75
2004-04-21T13:00:00Z,4/21/2004,8.75
2004-04-21T14:00:00Z,4/21/2004,8.75
2004-04-21T15:00:00Z,4/21/2004,8.6
2004-04-21T16:00:00Z,4/21/2004,8.6
2004-04-21T17:00:00Z,4/21/2004,8.75
2004-04-21T18:00:00Z,4/21/2004,8.91
2004-04-21T19:00:00Z,4/21/2004,9.37
2004-04-21T20:00:00Z,4/21/2004,9.52
2004-04-21T21:00:00Z,4/21/2004,9.99
